"pdes","epoch_mjd","a","e","i","om","w","ma"
433,60200,1.458,0.2228,10.83,304.29,178.91,222.76
719,60200,2.636,0.5470,11.58,183.85,156.23,56.29
887,60200,2.472,0.5709,9.40,110.42,350.47,238.76
1036,60200,2.666,0.5329,26.69,215.50,132.48,276.42
1221,60200,1.919,0.4357,11.88,171.32,26.65,123.53
1566,60200,1.078,0.8269,22.80,87.95,31.44,168.65
1580,60200,2.198,0.4870,52.15,62.23,159.59,198.11
1620,60200,1.246,0.3355,13.34,337.17,276.95,5.84
1627,60200,1.864,0.3964,8.45,133.12,167.81,1.48
1685,60200,1.368,0.4361,9.38,274.22,127.24,309.83
1862,60200,1.471,0.5599,6.35,35.56,286.05,31.77
1863,60200,2.26,0.6059,18.39,346.42,268.10,58.10
1864,60200,1.461,0.6144,22.22,6.61,325.67,171.02
1865,60200,1.08,0.4669,16.10,212.89,325.30,337.10
1866,60200,1.894,0.5382,41.21,63.46,293.11,198.09
1915,60200,2.544,0.5703,20.40,162.94,347.79,187.24
1916,60200,2.272,0.4496,12.88,340.60,335.89,164.94
1917,60200,2.15,0.5057,23.96,188.28,194.55,269.82
1943,60200,1.431,0.2560,8.71,246.30,338.41,159.53
1980,60200,1.71,0.3647,26.87,246.55,115.49,218.71
1981,60200,1.777,0.6501,39.82,356.85,267.82,92.26
2059,60200,2.642,0.5319,11.02,200.69,192.46,319.50
2061,60200,2.265,0.5359,3.80,207.36,157.08,167.64
2062,60200,0.967,0.1829,18.93,108.53,148.05,283.42
2063,60200,1.078,0.3494,9.43,33.06,55.35,250.32
2100,60200,0.832,0.4365,15.76,170.78,356.08,290.15
2101,60200,1.874,0.7643,1.32,349.47,43.64,77.18
2102,60200,1.29,0.2993,64.00,94.35,61.52,169.20
2135,60200,1.6,0.5028,23.07,191.12,290.97,7.48
2201,60200,2.178,0.7114,2.52,74.87,98.42,211.77
2202,60200,2.291,0.5127,8.74,169.92,217.95,242.17
2212,60200,2.161,0.8374,11.54,27.50,209.43,61.58
2329,60200,2.41,0.6536,24.47,169.28,146.08,220.61
2340,60200,0.8438,0.4499,5.86,211.30,40.09,264.78
2368,60200,2.105,0.4134,5.22,287.30,43.13,29.47
2608,60200,2.528,0.5681,14.54,167.09,38.02,175.19
3102,60200,2.151,0.4496,8.44,172.05,154.79,116.76
3103,60200,1.404,0.3543,20.93,129.74,254.09,67.17
3122,60200,1.769,0.4231,22.14,336.06,27.88,193.13
3199,60200,1.575,0.2842,32.96,339.99,53.43,239.40
3200,60200,1.271,0.8900,22.29,265.15,322.24,334.02
3271,60200,2.101,0.3959,25.07,158.82,159.10,175.16
3288,60200,2.033,0.4562,5.93,218.62,349.30,105.29
3352,60200,1.879,0.3692,4.77,107.33,16.10,194.71
3360,60200,2.467,0.7455,21.14,242.47,63.56,307.88
3361,60200,1.21,0.3229,2.66,188.68,302.36,88.47
3362,60200,0.9895,0.4686,9.92,152.42,55.07,319.35
3551,60200,2.092,0.4873,9.51,173.78,193.28,72.86
3552,60200,4.265,0.7078,31.09,349.94,316.58,218.70
3553,60200,1.644,0.3201,36.78,232.49,288.92,102.71
3554,60200,0.974,0.2806,23.36,358.61,359.42,176.43
3671,60200,2.2,0.5410,13.53,82.06,204.30,10.67
3691,60200,1.775,0.2841,20.35,348.72,235.00,178.34
3752,60200,1.414,0.3015,55.56,147.96,312.22,134.20
3753,60200,0.9978,0.5149,19.80,126.20,43.88,273.21
3757,60200,1.835,0.4457,3.87,74.93,17.22,135.07
3838,60200,1.505,0.7023,29.20,235.47,49.73,12.22
3908,60200,1.928,0.4594,2.19,261.20,126.63,18.40
3988,60200,1.544,0.3167,10.77,229.79,86.94,110.92
4015,60200,2.625,0.6316,2.80,266.76,95.47,89.08
4034,60200,1.06,0.4440,11.17,157.90,296.70,258.94
4055,60200,1.82,0.3262,23.26,164.82,154.41,106.73
4179,60200,2.544,0.6247,0.45,125.34,277.87,242.54
4183,60200,1.981,0.6360,6.67,294.35,237.04,34.47
4197,60200,2.294,0.7724,12.60,7.01,122.56,243.67
4257,60200,1.647,0.4683,40.72,169.16,278.92,334.47
4341,60200,1.834,0.6800,11.84,108.04,15.83,245.29
4401,60200,2.584,0.5632,26.63,22.79,68.13,38.62
4450,60200,1.442,0.5868,5.52,311.77,291.84,324.63
4486,60200,2.201,0.6625,3.04,82.22,168.90,36.49
