q,e,i,om,w,ma,a
1.1331575999999999,0.2228,10.83,304.29,178.91,222.76,1.458
1.194108,0.547,11.58,183.85,156.23,56.29,2.636
1.0607352,0.5709,9.4,110.42,350.47,238.76,2.472
1.2452885999999999,0.5329,26.69,215.5,132.48,276.42,2.666
1.0828917,0.4357,11.88,171.32,26.65,123.53,1.919
0.18660180000000004,0.8269,22.8,87.95,31.44,168.65,1.078
1.127574,0.487,52.15,62.23,159.59,198.11,2.198
0.827967,0.3355,13.34,337.17,276.95,5.84,1.246
1.1251104,0.3964,8.45,133.12,167.81,1.48,1.864
0.7714152000000002,0.4361,9.38,274.22,127.24,309.83,1.368
0.6473871000000001,0.5599,6.35,35.56,286.05,31.77,1.471
0.890666,0.6059,18.39,346.42,268.1,58.1,2.26
0.5633616000000001,0.6144,22.22,6.61,325.67,171.02,1.461
0.575748,0.4669,16.1,212.89,325.3,337.1,1.08
0.8746491999999999,0.5382,41.21,63.46,293.11,198.09,1.894
1.0931568,0.5703,20.4,162.94,347.79,187.24,2.544
1.2505088,0.4496,12.88,340.6,335.89,164.94,2.272
1.0627449999999998,0.5057,23.96,188.28,194.55,269.82,2.15
1.064664,0.256,8.71,246.3,338.41,159.53,1.431
1.086363,0.3647,26.87,246.55,115.49,218.71,1.71
0.6217722999999999,0.6501,39.82,356.85,267.82,92.26,1.777
1.2367202,0.5319,11.02,200.69,192.46,319.5,2.642
1.0511865,0.5359,3.8,207.36,157.08,167.64,2.265
0.7901356999999999,0.1829,18.93,108.53,148.05,283.42,0.967
0.7013468000000002,0.3494,9.43,33.06,55.35,250.32,1.078
0.46883199999999997,0.4365,15.76,170.78,356.08,290.15,0.832
0.4417018000000001,0.7643,1.32,349.47,43.64,77.18,1.874
0.903903,0.2993,64.0,94.35,61.52,169.2,1.29
0.79552,0.5028,23.07,191.12,290.97,7.48,1.6
0.6285707999999999,0.7114,2.52,74.87,98.42,211.77,2.178
1.1164043,0.5127,8.74,169.92,217.95,242.17,2.291
0.35137859999999993,0.8374,11.54,27.5,209.43,61.58,2.161
0.8348240000000001,0.6536,24.47,169.28,146.08,220.61,2.41
0.46417438,0.4499,5.86,211.3,40.09,264.78,0.8438
1.234793,0.4134,5.22,287.3,43.13,29.47,2.105
1.0918431999999998,0.5681,14.54,167.09,38.02,175.19,2.528
1.1839103999999998,0.4496,8.44,172.05,154.79,116.76,2.151
0.9065627999999999,0.3543,20.93,129.74,254.09,67.17,1.404
1.0205361,0.4231,22.14,336.06,27.88,193.13,1.769
1.1273849999999999,0.2842,32.96,339.99,53.43,239.4,1.575
0.13980999999999996,0.89,22.29,265.15,322.24,334.02,1.271
1.2692141000000001,0.3959,25.07,158.82,159.1,175.16,2.101
1.1055454,0.4562,5.93,218.62,349.3,105.29,2.033
1.1852732000000001,0.3692,4.77,107.33,16.1,194.71,1.879
0.6278514999999999,0.7455,21.14,242.47,63.56,307.88,2.467
0.819291,0.3229,2.66,188.68,302.36,88.47,1.21
0.5258203,0.4686,9.92,152.42,55.07,319.35,0.9895
1.0725684,0.4873,9.51,173.78,193.28,72.86,2.092
1.246233,0.7078,31.09,349.94,316.58,218.7,4.265
1.1177556,0.3201,36.78,232.49,288.92,102.71,1.644
0.7006956,0.2806,23.36,358.61,359.42,176.43,0.974
1.0098,0.541,13.53,82.06,204.3,10.67,2.2
1.2707225,0.2841,20.35,348.72,235.0,178.34,1.775
0.987679,0.3015,55.56,147.96,312.22,134.2,1.414
0.48403278,0.5149,19.8,126.2,43.88,273.21,0.9978
1.0171405,0.4457,3.87,74.93,17.22,135.07,1.835
0.4480384999999999,0.7023,29.2,235.47,49.73,12.22,1.505
1.0422768,0.4594,2.19,261.2,126.63,18.4,1.928
1.0550152000000002,0.3167,10.77,229.79,86.94,110.92,1.544
0.9670499999999999,0.6316,2.8,266.76,95.47,89.08,2.625
0.5893600000000001,0.444,11.17,157.9,296.7,258.94,1.06
1.226316,0.3262,23.26,164.82,154.41,106.73,1.82
0.9547631999999999,0.6247,0.45,125.34,277.87,242.54,2.544
0.7210840000000001,0.636,6.67,294.35,237.04,34.47,1.981
0.5221144000000001,0.7724,12.6,7.01,122.56,243.67,2.294
0.8757099000000002,0.4683,40.72,169.16,278.92,334.47,1.647
0.58688,0.68,11.84,108.04,15.83,245.29,1.834
1.1286912,0.5632,26.63,22.79,68.13,38.62,2.584
0.5958344,0.5868,5.52,311.77,291.84,324.63,1.442
0.7428375,0.6625,3.04,82.22,168.9,36.49,2.201
1.216882,0.2966,16.41,198.11,174.0,282.63,1.73
1.2855467999999999,0.5244,2.51,45.95,76.24,199.06,2.703
0.7812916000000001,0.2502,14.14,23.96,333.86,343.79,1.042
0.6578913,0.3569,4.92,180.21,255.36,190.87,1.023
1.0752000000000002,0.52,37.07,154.21,248.38,172.61,2.24
0.9523305000000001,0.3587,1.45,313.12,159.51,334.14,1.485
1.0760472,0.5179,6.38,241.23,213.81,287.14,2.232
0.5493583999999999,0.4832,8.88,325.53,121.43,324.42,1.063
1.1391550000000001,0.1685,15.65,215.43,192.94,258.71,1.37
0.5553546,0.6574,24.38,77.53,77.94,94.0,1.621
1.1019507,0.4493,17.43,358.42,52.58,208.7,2.001
1.222578,0.2188,35.01,254.88,97.5,309.17,1.565
0.818,0.5,7.41,10.64,105.93,345.28,1.636
0.6404660000000001,0.569,36.43,110.36,135.85,140.47,1.486
0.4196645,0.7713,8.98,309.19,228.14,246.94,1.835
0.8101440000000001,0.478,3.58,135.07,159.96,53.64,1.552
1.1796719999999998,0.6048,19.61,352.24,321.15,25.34,2.985
1.1777535,0.4555,25.52,142.77,306.06,215.66,2.163
1.2055538000000001,0.6371,19.17,177.8,161.34,25.51,3.322
0.6666610000000001,0.2964,48.97,58.53,37.42,131.64,0.9475
0.8882880000000001,0.6352,68.0,101.05,118.0,91.61,2.435
1.093488,0.544,18.09,189.92,86.81,357.9,2.398
0.7100262399999999,0.2796,14.19,216.28,34.48,343.01,0.9856
0.55149554,0.4061,4.71,311.9,82.67,189.35,0.9286
1.2463906999999996,0.4227,7.87,128.65,153.78,167.74,2.159
1.196714,0.4548,3.85,173.1,231.83,78.88,2.195
0.8302085,0.3873,13.51,45.71,48.26,274.46,1.355
1.2094304000000002,0.4359,7.91,14.11,335.77,189.38,2.144
1.2479064,0.3044,6.88,9.9,122.62,259.94,1.794
0.42483,0.762,38.13,302.13,127.02,192.83,1.785
0.5272107999999999,0.5852,5.06,96.98,258.98,287.85,1.271
0.7887945999999999,0.6519,11.2,280.59,218.45,50.7,2.266
1.2074447,0.4253,16.07,121.63,25.49,124.87,2.101
0.1872292,0.8268,23.23,161.29,8.38,287.01,1.081
1.0524958000000002,0.4443,4.19,298.93,168.63,278.07,1.894
0.5180598000000001,0.6949,30.12,125.42,152.77,239.42,1.698
1.1316476,0.5364,7.95,238.72,78.06,316.22,2.441
1.0992735,0.5055,19.49,168.88,115.54,47.91,2.223
1.2301668000000001,0.3211,17.93,227.85,230.84,70.81,1.812
1.1552125,0.2891,21.57,145.83,355.81,92.69,1.625
0.6363816,0.4997,3.51,182.22,242.29,334.78,1.272
0.9428400000000001,0.352,23.48,6.07,103.8,17.68,1.455
1.2395057999999999,0.4371,6.4,88.16,285.03,272.57,2.202
1.0118811,0.5287,21.58,318.23,74.93,316.7,2.147
0.5281538,0.7622,4.96,169.06,337.59,340.74,2.221
1.1694984,0.5844,4.31,64.5,127.49,331.33,2.814
0.6759822999999999,0.4127,3.94,344.55,239.74,265.23,1.151
0.9573760000000001,0.5726,37.34,26.9,262.77,112.4,2.24
1.2950336,0.4092,8.22,313.58,347.13,213.63,2.192
0.963325,0.6125,2.27,209.47,68.69,51.41,2.486
1.0248191999999998,0.5904,5.94,301.88,323.67,43.34,2.502
